anime_id,title,title_english,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,producer,licensor,studio,genre,duration_min,aired_from_year
27727,Binan Koukou Chikyuu Boueibu LOVE!,Cute High Earth Defense Club LOVE!,,https://myanimelist.cdn-dena.com/images/anime/10/68451.jpg,TV,Original,12,Finished Airing,FALSE,"Jan 7, 2015 to Mar 25, 2015","{'from': '2015-01-07', 'to': '2015-03-25'}",24 min. per ep.,PG-13 - Teens 13 or older,7.05,20905,3358,1415,56161,462,,Winter 2015,Wednesdays at 01:40 (JST),"Sotsu, Pony Canyon",Ponycan USA,Diomedea,"Slice of Life, Comedy, Parody, Magic, School",24,2015
2617,Ghiblies,,,https://myanimelist.cdn-dena.com/images/anime/6/75924.jpg,Special,Original,2,Finished Airing,FALSE,"Apr 8, 2000 to Jul 19, 2002","{'from': '2000-04-08', 'to': '2002-07-19'}",18 min. per ep.,PG - Children,6.57,1696,5325,5184,4283,3,"The first was aired during a TV special about Ghibli, the second shown in theatres alongside &#039;The Cat Returns&#039;. Note that the animation studio in these shorts is not spelled ジブリ (hepburn: &#039;jiburi&#039;), but ギブリ (hepburn: &#039;giburi&#039;), so pronounced with the hard &#039;gi&#039; of &#039;give&#039; rather than the &#039;ji&#039; of &#039;jigsaw&#039; used for Ghibli.(Source: AniDB)",,,,,Studio Ghibli,Comedy,18,2000
33094,WWW.Working!!,WWW.WAGNARIA!!,,https://myanimelist.cdn-dena.com/images/anime/11/82287.jpg,TV,Web manga,13,Finished Airing,FALSE,"Oct 1, 2016 to Dec 24, 2016","{'from': '2016-10-01', 'to': '2016-12-24'}",23 min. per ep.,PG-13 - Teens 13 or older,7.55,39360,1514,1020,82352,213,,Fall 2016,Saturdays at 23:30 (JST),"Aniplex, Yomiuri Telecasting, Lawson",,A-1 Pictures,"Slice of Life, Comedy",23,2016
209,R.O.D the TV,R.O.D -The TV-,"Read or Die TV, Read or Die, ROD, Read or Die: the TV, Read or Dream, R.O.D. TV",https://myanimelist.cdn-dena.com/images/anime/3/73350.jpg,TV,Light novel,26,Finished Airing,FALSE,"Sep 1, 2003 to Mar 16, 2004","{'from': '2003-09-01', 'to': '2004-03-16'}",25 min. per ep.,PG-13 - Teens 13 or older,7.61,22411,1339,1471,53314,387,,Fall 2003,Unknown,"Aniplex, Studio Deen, Broccoli, Sony Music Entertainment","Aniplex of America, Geneon Entertainment USA",J.C.Staff,"Action, Adventure, Comedy, Drama, Sci-Fi, Super Power",25,2003
33358,Mahou no Star Magical Emi: Finale! Finale!,,,https://myanimelist.cdn-dena.com/images/anime/5/80148.jpg,OVA,Original,1,Finished Airing,FALSE,"May 25, 1986","{'from': '1986-05-25', 'to': '1986-05-25'}",17 min.,G - All Ages,6.06,31,11126,11339,192,0,,,,,,Studio Pierrot,"Comedy, Magic, Shoujo",17,1986
30721,Hacka Doll The Animation,Hackadoll The Animation,Hacker Doll The Animation,https://myanimelist.cdn-dena.com/images/anime/6/75751.jpg,TV,Other,13,Finished Airing,FALSE,"Oct 2, 2015 to Dec 25, 2015","{'from': '2015-10-02', 'to': '2015-12-25'}",7 min. per ep.,PG-13 - Teens 13 or older,6.51,10489,5553,2200,27988,40,,Fall 2015,Fridays at 23:00 (JST),"Nihon Ad Systems, AT-X, KlockWorx, Trigger, DIVE II Entertainment, Good Smile Company, Avex Pictures, DeNA, Ichijinsha",,Creators in Pack,"Comedy, Sci-Fi",7,2015
28369,Dr. Slump: Arale-chan Specials,,"Dr. Slump: Penguin Village SOS, Dr. Slump: Game by Heart, Episode 24.5",https://myanimelist.cdn-dena.com/images/anime/13/68505.jpg,Special,Manga,2,Finished Airing,FALSE,"Oct 7, 1981","{'from': '1981-10-07', 'to': '1981-10-07'}",24 min. per ep.,PG-13 - Teens 13 or older,6.36,84,6153,9968,394,0,,,,,,Toei Animation,"Sci-Fi, Comedy, Shounen",24,1981
9509,Yami no Purple Eye,Purple Eyes in the Dark,,https://myanimelist.cdn-dena.com/images/anime/8/26389.jpg,Music,Manga,1,Finished Airing,FALSE,1987,"{'from': None, 'to': None}",31 min.,PG-13 - Teens 13 or older,5,274,9046,8760,772,1,,,,Youmex,,Toei Animation,"Psychological, Supernatural, Music, Horror, Mystery, Shoujo",31,1987
3844,Apache Yakyuugun,Apache Baseball Team,,https://myanimelist.cdn-dena.com/images/anime/5/78281.jpg,TV,Manga,26,Finished Airing,FALSE,"Oct 6, 1971 to Mar 29, 1972","{'from': '1971-10-06', 'to': '1972-03-29'}",25 min. per ep.,G - All Ages,6.07,52,7165,9958,395,1,,Fall 1971,Wednesdays at 19:30 (JST),,,Toei Animation,"Action, Sports, School",25,1971
31699,Good Morning!!! Doronjo,,Doronjo ZIP!,https://myanimelist.cdn-dena.com/images/anime/2/76387.jpg,TV,Original,243,Finished Airing,FALSE,"Mar 30, 2015 to Mar 25, 2016","{'from': '2015-03-30', 'to': '2016-03-25'}",1 min. per ep.,G - All Ages,5.7,23,10264,10937,230,0,,Spring 2015,Not scheduled once per week,Nippon Television Network,,Oddjob,"Comedy, Parody",1,2015
